fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type_red,type_white,PCA1,PCA2,LDA1,LDA2
6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,3.17,0.35,11.0,7,0,1,-16.399513911834493,-8.089486674531193,-0.0035199559930002037,0.8172259374706335
6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,8,0,1,7.952416218123579,8.78266267301702,-0.23216279917919164,0.5493088721917462
7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,3.05,0.51,9.3,5,0,1,49.14470508578733,-17.183754152744264,2.826741154463449,2.2652679480469207
6.6,0.27,0.41,1.3,0.052,16.0,142.0,0.9951,3.42,0.47,10.0,6,0,1,21.809201971875027,-20.082251854790897,1.365665436677452,0.8688805449019296
7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.9955,3.25,0.5,10.4,6,0,1,131.37098948967144,-4.120973827444021,-0.18088216417291397,-1.179373473193423
6.9,0.24,0.35,1.0,0.052,35.0,146.0,0.993,3.45,0.44,10.0,6,0,1,29.94697960795882,-2.4944024776125797,0.3451581332857654,0.29783008021336804
7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.9961,3.38,0.53,10.5,6,0,1,24.725275698196082,-4.051121826602989,-0.2040350729813003,0.46021018730368307
7.4,0.27,0.48,1.1,0.047,17.0,132.0,0.9914,3.19,0.49,11.6,6,0,1,12.274422347990637,-16.861279652933337,-0.5190255810955315,0.907570399866537
7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,7,0,1,-0.7333393357876931,6.702619701366543,-1.8390652193500021,0.7858252536361489
8.5,0.24,0.39,10.4,0.044,20.0,142.0,0.9974,3.2,0.53,10.0,6,0,1,23.073366778157812,-15.920714140631755,0.03554054559330089,0.5053010479746503
8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,3.47,0.4,10.2,6,0,1,-72.720498770571,-7.443689873783907,-0.385064112457449,1.44165733142124
7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.992,3.19,0.44,10.8,6,0,1,-15.69879148306409,4.012910253275393,-0.4051319482273107,0.5206851976059402
6.2,0.12,0.34,5.444326404926867,0.045,43.0,117.0,0.9939,3.42,0.51,9.0,6,0,1,3.7022548613730204,11.97265647005426,-0.1511825407515619,-0.9703598761888839
5.8,0.27,0.2,14.95,0.044,22.0,179.0,0.9962,3.37,0.37,10.2,5,0,1,59.752425471144214,-22.15680797948834,-0.12158323625031092,-0.3471327523739503
7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,3.19,0.42,12.8,5,0,1,4.4273938210890185,-10.91487415476424,-1.3329890362477632,0.9293787154757227
6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,3.24,0.35,10.0,5,0,1,30.813547004215437,-12.770506448050808,1.0168719220553637,0.7426307967056593
7.0,0.33,0.32,1.2,0.053,38.0,138.0,0.9906,3.13,0.28,11.2,6,0,1,22.83151530000928,2.238886452516951,-0.01888988718644752,0.43006249468582775
7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5,0,1,35.823599582980684,7.080606710598002,0.6921283233949077,-0.8864914621521609
7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5,0,1,35.823599582980684,7.080606710598002,0.6921283233949077,-0.8864914621521609
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,6,0,1,42.27689801963604,-12.271853099408695,0.9560603025226319,-0.016442223059743168
6.6,0.24,0.27,1.4,0.057,33.0,152.0,0.9934,3.22,0.56,9.5,6,0,1,35.362068563361426,-5.7817336802384265,0.8833724206594188,-0.2991009656138917
6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,6,0,1,37.30855774693685,-6.233320024650858,0.8041820423576181,-0.3268232379689056
7.4,0.18,0.31,1.4,0.058,38.0,167.0,0.9931,3.16,0.53,10.0,7,0,1,51.07826180896594,-4.29912146240667,0.24458280680446837,-0.6574291084337851
6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.994,3.27,0.52,9.8,4,0,1,94.78573741431462,11.350631970953653,1.0592137468842926,-0.09283459426156884
6.2,0.46,0.25,4.4,0.066,62.0,207.0,0.9939,3.25,0.52,9.8,5,0,1,95.53522213926841,10.151416768447481,1.1196286368722874,-0.07048883646182955
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,6,0,1,42.27689801963604,-12.271853099408695,0.9560603025226319,-0.016442223059743168
6.9,0.19,0.35,5.0,0.067,32.0,150.0,0.995,3.36,0.48,9.8,5,0,1,33.33765917439457,-6.195101270580793,0.373314793595074,-0.29880766071631554
7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44,11.7,6,0,1,55.350983163704,-12.4559355509867,-0.9715522856402821,-0.016043942219979047
6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.9914,3.34,0.58,11.0,7,0,1,9.42476346047245,6.368529497645167,-0.8173848657434104,0.1707762822825695
6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.991,3.32,0.46,10.9,7,0,1,-35.496591019837005,-1.686667839020735,-0.7165598612584588,0.1441930761458158
6.4,0.18,0.35,1.0,0.045,39.0,108.0,0.9911,3.31,0.35,10.9,6,0,1,-6.154694826991019,9.973936065043874,-0.6013930532542384,-0.1643542424088125
6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.993,3.218395499383477,0.38,9.1,6,0,1,16.991011345724928,3.578361239303654,1.4706754924962004,-0.8097217343987291
6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,3.13,0.52,11.0,6,0,1,72.42109222829532,-18.470967006529104,-0.29997285585429795,-0.24423984095891196
7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.9962,3.09,0.5,9.6,6,0,1,96.08263875557816,-15.321474846382724,0.18393374909437848,-1.2580728968879586
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6,0,1,34.77193080232558,12.239432111566535,0.5449488787017276,-1.3221214176403537
6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,6,0,1,-38.34700069009976,3.212741840386257,0.6667645145957384,1.040080260472712
7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,0.34,9.9,6,0,1,-2.1062389303379945,14.162896464655411,-0.005878944169597502,0.11456808378914599
6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.9951,3.03,0.46,8.6,6,0,1,6.605922966788327,-2.0608082898057836,1.6884601399170422,-0.7994649696400971
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6,0,1,34.77193080232558,12.239432111566535,0.5449488787017276,-1.3221214176403537
7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.991,3.02,0.34,10.5,5,0,1,30.781591808197337,-21.14560782718447,1.2494909097811633,1.3535088671732902
6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,6,0,1,-38.34700069009976,3.212741840386257,0.6667645145957384,1.040080260472712
7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.9927,3.15,0.46,10.3,6,0,1,5.697349368466875,-0.9672553351243628,0.23847360046294977,0.19141362877931825
6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.9934,3.22,0.54,9.1,5,0,1,3.3070485702304273,-2.4663645208900746,1.5362038725899865,0.41254612544629904
6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,3.22,0.49,12.6,7,0,1,6.949549511108714,-5.147909052470821,-2.309235708762224,0.3255131517620425
6.7,0.25,0.13,1.2,0.041,81.0,174.0,0.992,3.14,0.42,9.8,5,0,1,67.52756482576872,35.99109816394311,0.04224028202282826,-1.4297410910429293
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8,0,1,-19.809986388301773,3.9472231466260337,-0.7190704105683895,0.4815728844627834
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5,0,1,-12.727491048105367,-6.607969018880398,0.6221429437613235,0.13243263700918964
6.2,0.27,0.43,7.8,0.056,48.0,244.0,0.9956,3.1,0.51,9.0,6,0,1,128.5680577273104,-11.720662860856065,1.4850089539047693,-1.5765430871287196
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,0,1,123.63225819775002,-8.147157195190328,1.0821824320139892,-0.6954772789594101
6.0,0.27,0.28,4.8,0.063,31.0,201.0,0.9964,3.69,0.71,10.0,5,0,1,82.76312924013426,-18.66685444409128,0.4522765786248626,0.26255088982178276
8.6,0.23,0.46,1.0,0.054,9.0,72.0,0.9941,2.95,0.49,9.1,6,0,1,-47.93208532125315,-11.14122799395711,1.3912542061509399,0.8225110712017751
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8,0,1,-19.809986388301773,3.9472231466260337,-0.7190704105683895,0.4815728844627834
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5,0,1,-12.727491048105367,-6.607969018880398,0.6221429437613235,0.13243263700918964
7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.9898,3.26,0.37,12.7,7,0,1,-28.391491291931295,6.931175261142504,-2.1583033584358855,0.5105306268229013
7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,7,0,1,-48.38124134414947,0.274222396526148,-1.4308967723246595,1.6933959166069645
7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.9961,2.94,0.56,9.3,5,0,1,-13.607325794470626,-1.32881254306412,0.49694543611091296,-0.684483711803159
6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,3.27,0.37,9.0,5,0,1,-12.916898793724057,-6.749138345753055,2.2901616156688798,2.0075945323213356
6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.77,10.6,6,0,1,-1.4183679311427893,3.7614264564235445,-0.8589210965414051,0.3378505022016019
7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,6,0,1,53.63556834435991,9.03329166081585,-0.37631319291013454,-1.2945748542384667
7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.9946,3.17,0.42,10.0,5,0,1,50.37299864143706,5.287113472496748,0.6167834852211033,-0.08387784575442861
7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.9966,3.33,0.46,9.5,6,0,1,91.20648568747512,-9.214525409853623,0.577427877433497,-0.6854404072566265
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5,0,1,43.425511142613175,14.303881922374464,1.5035852186359693,0.08837574564195497
7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,6,0,1,40.056491851168516,13.032809521665207,1.5492033824485638,0.23742094192784594
7.2,0.33969101556480197,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,6,0,1,44.589182845776705,15.026962343787575,1.3324395981317185,-0.4490232263071912
6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.9972,3.22,0.48,9.7,6,0,1,92.60514606725253,18.364090379360597,-0.22218078106022965,-1.5147813839379023
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5,0,1,43.425511142613175,14.303881922374464,1.5035852186359693,0.08837574564195497
7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,6,0,1,40.056491851168516,13.032809521665207,1.5492033824485638,0.23742094192784594
7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,6,0,1,44.58912320256926,15.026915966295151,1.5075780956586229,-0.14181956049160319
6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,3.12,0.47,9.0,5,0,1,131.39243113585513,5.049711119625843,1.3637946441460325,-1.8605425999485317
6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.99,3.26,0.4,12.6,7,0,1,22.914798383403372,11.473383663949704,-1.9607929287193575,0.16854424219900946
6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.9899,3.25,0.41,12.6,7,0,1,23.14312564591659,12.45021430405616,-2.1346129786165546,-0.05793455606751983
7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,7,0,1,35.49661729797229,12.655781788223768,-1.3251276939243943,-0.47865040199379233
7.1,0.26,0.29,12.4,0.044,62.0,240.0,0.9969,3.04,0.42,9.2,6,0,1,127.99629772456616,2.949160632149025,0.6925567155413563,-1.8216667170361742
6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6,0,1,46.09157531819165,-14.85602753931945,1.2702761114554728,-0.35313924407413727
8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.9913,2.95,0.36,11.4,7,0,1,-38.803545080093436,-7.090321353154423,-0.45213837784813476,1.1982527480917755
9.8,0.36,0.46,10.5,0.05604157043879908,4.0,83.0,0.9956,2.89,0.3,10.1,4,0,1,-37.95961709388943,-18.203849213827507,0.49321032780408214,1.7164621745877513
6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6,0,1,46.09157531819165,-14.85602753931945,1.2702761114554728,-0.35313924407413727
7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5,0,1,79.0672431797057,4.06562120267814,0.6639075458858036,-1.424182050644739
7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,0.41,9.4,5,0,1,52.385700309013885,22.397707147020498,-0.4911876624794294,-1.5068022266171595
6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,3.34,0.39,9.4,5,0,1,52.428075493940604,13.26733089144064,0.20495042658213264,-1.2680585992592313
7.5,0.305,0.4,18.9,0.059,44.0,170.0,1.0,2.99,0.46,9.0,5,0,1,56.081074506516764,1.4008738782571517,0.747743328503968,-0.8914171395642583
7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5,0,1,79.0672431797057,4.06562120267814,0.6639075458858036,-1.424182050644739
7.3,0.13,0.32,14.4,0.051,34.0,109.0,0.9974,3.2,0.35,9.2,6,0,1,-5.737276759167036,5.280795724746151,-0.18008314080200283,-0.9308236632459523
7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,0.41,9.4,5,0,1,52.385700309013885,22.397707147020498,-0.4911876624794294,-1.5068022266171595
7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,6,0,1,60.542015160400176,16.684593226681617,-0.1986915360312434,-1.3819249912677927
7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,6,0,1,60.542015160400176,16.684593226681617,-0.1986915360312434,-1.3819249912677927
6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.9927,3.27,0.6,10.3,5,0,1,70.32330638216789,-9.781081358709361,0.4034715026426459,0.2405829830293911
6.5,0.17,0.54,8.5,0.082,64.0,163.0,0.9959,2.89,0.39,8.8,6,0,1,53.32130040185086,22.14056393788826,1.2321727982485193,-2.354531408226143
7.2,0.27,0.46,18.75,0.052,45.0,255.0,1.0,3.04,0.52,8.9,5,0,1,139.05716585196507,-16.792672804281636,0.9321413644161668,-1.6732708708048383
7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,5,0,1,85.56615419131846,18.964366746418328,0.834593384588056,-1.3356692230000282
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,5,0,1,32.846308699009356,-8.988056313669887,1.5581552604232929,0.6596447644647824
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,5,0,1,32.846308699009356,-8.988056313669887,1.5581552604232929,0.6596447644647824
5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.994,3.63,0.4,9.7,4,0,1,-17.93672382237181,-19.066240188879302,1.9331491603581077,2.3820905031372184
6.0,0.31,0.24,3.3,0.041,25.0,143.0,0.9914,3.31,0.44,11.3,6,0,1,24.880091642454534,-11.475220124795998,-0.4144431483268692,0.537313210700172
7.0,0.14,0.4,1.7,0.035,16.0,85.0,0.9911,3.19,0.42,11.8,6,0,1,-33.68177597539234,-7.216382697768572,-1.2461115017173519,0.3663717921360013
7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,5,0,1,85.56615419131846,18.964366746418328,0.834593384588056,-1.3356692230000282
7.3,0.32,0.48,13.3,0.06,57.0,196.0,0.9982,3.04,0.5,9.2,5,0,1,84.07381793671117,8.027187514520065,0.9080117303991334,-1.0029021953891832
5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.9934,3.22,0.51,10.2,5,0,1,-30.430382312327087,-2.672694570698953,0.33490758174599267,0.8474312604300958
7.8,0.24,0.32,12.2,0.054,42.0,138.0,0.9984,3.01,0.54,8.8,5,0,1,24.19649405307796,6.4600060990375825,0.8059997547893071,-0.7322138724788023
7.4,0.16,0.31,6.85,0.059,31.0,131.0,0.9952,3.29,0.34,9.7,5,0,1,14.689913263721655,-2.831882944821448,0.24150943123723034,-0.36870001094403
6.9,0.19,0.28,5.0,0.058,14.0,146.0,0.9952,3.29,0.36,9.1,6,0,1,25.41347086037783,-22.822369409609244,1.3755206768690968,-0.11204760740360933
6.4,0.13,0.47,1.6,0.092,40.0,158.0,0.9928,3.21,0.36,9.8,6,0,1,42.7807895588822,-0.31010144175936016,0.7215506105356828,-1.2951423659270074
6.7,0.19,0.36,1.1,0.026,63.0,143.0,0.9912,3.27,0.48,11.0,6,0,1,33.30117208989687,25.453569989370425,-1.178968355163422,-0.7179215487054182
7.4,0.39,0.23,7.0,0.033,29.0,126.0,0.994,3.14,0.42,10.5,5,0,1,9.3751395986422,-3.645523651070846,0.19366199103962464,1.0238082397342052
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,7,0,1,88.63589149725678,-2.4826753572491653,0.1561693159996631,-0.6290058172858453
6.1,0.3,0.56,2.8,0.044,47.0,179.0,0.9924,3.3,0.57,10.9,7,0,1,64.84066319463084,1.813057683674513,-0.21506291149305867,-0.1506869451349472
6.1,0.3,0.56,2.7,0.046,46.0,184.0,0.9924,3.31,0.57,10.9,6,0,1,69.48034154209623,-0.29106556444186843,-0.17174464156582808,-0.15095930855352893
5.7,0.26,0.25,10.4,0.02,7.0,57.0,0.994,3.39,0.37,10.6,5,0,1,-62.57977451453471,-9.394103128378665,-0.6257569697086844,0.9941025703232462
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,7,0,1,88.63589149725678,-2.4826753572491653,0.1561693159996631,-0.6290058172858453
6.5,0.425,0.4,13.1,0.038,59.0,241.0,0.9979,3.23,0.57,9.0,5,0,1,128.33181098262213,-0.17248104463269345,1.1926980435515004,-0.5954098139811144
6.6,0.24,0.27,15.8,0.035,46.0,188.0,0.9982,3.24,0.51,9.2,5,0,1,73.92918654059642,-0.7983958355376248,0.09828899472060448,-1.14362761636984
6.8,0.27,0.22,8.1,0.034,55.0,203.0,0.9961,3.19,0.52,8.9,5,0,1,90.22818326515363,4.344484349145686,0.8929212006149739,-1.0904405299519058
6.7,0.27,0.31,15.7,0.036,44.0,179.0,0.9979,3.26,0.56,9.6,5,0,1,64.71137653844887,-0.7193620622159154,-0.24117377204164064,-0.734012151272385
8.2,0.23,0.4,1.2,0.027,36.0,121.0,0.992,3.12,0.38,10.7,6,0,1,5.8268388037331915,4.1149633921376605,-0.3229804288930364,0.39139574748046074
7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,5,0,1,42.25065578114341,9.395352463285825,1.5746747461538566,-0.01573244238358216
6.8,0.19,0.36,1.9,0.035,30.0,96.0,0.9917,3.15,0.54,10.8,7,0,1,-19.81935818468176,3.9405678938467292,-0.7047167321346416,0.011519792392761484
8.1,0.28,0.39,1.9,0.029,18.0,79.0,0.9923,3.218395499383477,0.52,11.8,6,0,1,-39.07465153747671,-3.9175168734859374,-1.090409990554964,1.646786110952262
6.3,0.31,0.34,2.2,0.045,20.0,77.0,0.9927,3.3,0.43,10.2,5,0,1,-40.53945260960083,-1.5019967667104093,0.5282191792890074,1.0709719785245488
7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,5,0,1,42.25065578114341,9.395352463285825,1.5746747461538566,-0.01573244238358216
7.9,0.21,0.4,1.2,0.039,38.0,107.0,0.992,3.21,0.54,10.8,6,0,1,-7.353920793387468,9.22136144066603,-0.8890664677752396,0.34589098761253084
8.5,0.21,0.41,4.3,0.036,24.0,99.0,0.9947,3.18,0.53,9.7,6,0,1,-18.148266891448543,-2.518974646463052,0.06007946492073435,0.6143496020607295
8.1,0.2,0.4,2.0,0.037,19.0,87.0,0.9921,3.12,0.54,11.2,6,0,1,-31.053993836049617,-4.74600666212787,-0.9670819465068647,0.7645674937097626
6.3,0.255,0.37,1.1,0.04,37.0,114.0,0.9905,3.0,0.39,10.9,6,0,1,-0.7563472607187269,6.6772151639785875,-0.07830277382865725,-0.2576836838673218
5.6,0.16,0.27,1.4,0.044,53.0,168.0,0.9918,3.28,0.37,10.1,6,0,1,55.4253953691245,10.09389548255489,0.14432214279306943,-1.3926213748451806
6.4,0.595,0.14,5.2,0.058,15.0,97.0,0.9951,3.38,0.36,9.0,4,0,1,-22.056799799076202,-10.791901638524639,2.51803014672566,2.6135367123101383
6.3,0.34,0.33,4.6,0.034,19.0,80.0,0.9917,3.38,0.58,12.0,7,0,1,-37.752889725054374,-3.0735111219224285,-1.4646224893894766,1.5892812785167096
6.9,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,6,0,1,-1.8166780514682415,-7.321883453887186,1.3533953584087086,-0.1667958312511362
7.9,0.22,0.38,8.0,0.043,46.0,152.0,0.9934,3.12,0.32,11.5,7,0,1,38.5314192008366,7.0759350361585485,-1.241583737396775,-0.31911510089839373
7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.9968,3.14,0.43,9.9,6,0,1,24.772919685469457,22.65903905635599,-0.24872092743660307,-1.0010959157122847
6.9,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,6,0,1,-1.8166780514682415,-7.321883453887186,1.3533953584087086,-0.1667958312511362
7.2,0.18,0.41,1.2,0.048,41.0,97.0,0.9919,3.14,0.45,10.4,5,0,1,-16.410251604122433,14.400838383887951,-0.36686102976968227,-0.2506008529985902
8.2,0.23,0.4,7.5,0.049,12.0,76.0,0.9966,3.06,0.84,9.7,6,0,1,-43.094409426299556,-8.917700532014278,-0.10936162118254955,0.7323216041646778
7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,6,0,1,84.03458704817271,-1.167335149609091,1.1000820677186038,-1.6757628792257278
7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,6,0,1,84.03458704817271,-1.167335149609091,1.1000820677186038,-1.6757628792257278
6.1,0.32,0.24,1.5,0.036,38.0,124.0,0.9898,3.29,0.42,12.4,7,0,1,9.212846769213566,5.414075794500107,-1.4002349914393728,0.6812432800599749
5.2,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,8,0,1,5.468947594824585,11.412210470914005,-0.7394468928116384,1.0981788668670278
5.2,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,8,0,1,5.468947594824585,11.412210470914005,-0.7394468928116384,1.0981788668670278
6.1,0.32,0.24,1.5,0.036,38.0,124.0,0.9898,3.29,0.42,12.4,7,0,1,9.212846769213566,5.414075794500107,-1.4002349914393728,0.6812432800599749
